,地方番号,品種名,品種名（かな）,分類:水陸,分類:粳糯,系統番号,育成開始年,配布開始年,農林登録番号,農林登録年,命名年,育成地,交配組合せ
8066,"陸稲西海7号
",,,陸稲,粳,,1930,1937,,,,鹿児島県　県立農事試験場鹿屋分場,嘉平/鹿児島葉冠1号
8067,"陸稲西海8号
 
",陸稲農林11号,りくとうのうりん11ごう,陸稲,粳,,1930,1937,陸稲農林11号,1939,1939,鹿児島県　県立農事試験場鹿屋分場,嘉平/鹿児島葉冠1号
8068,"陸稲西海9号
",,,陸稲,粳,,1931,1938,,,,鹿児島県　県立農事試験場鹿屋分場,フクトン/高田
8069,"陸稲西海10号
",,,陸稲,粳,,1930,1938,,,,鹿児島県　県立農事試験場鹿屋分場,田優1号/黒禾
8070,"陸稲西海11号
",,,陸稲,粳,,1931,1938,,,,鹿児島県　県立農事試験場鹿屋分場,大畑早生/葉冠
8071,"陸稲西海12号
",,,陸稲,糯,,1930,1938,,,,鹿児島県　県立農事試験場鹿屋分場,鹿児島凱旋糯1号/葉冠
8072,"陸稲西海13号
",,,陸稲,粳,,1932,1939,,,,鹿児島県　県立農事試験場鹿屋分場,陸稲神力1号/田優1号
8073,"陸稲西海14号
",,,陸稲,糯,,1932,1939,,,,鹿児島県　県立農事試験場鹿屋分場,葉冠/四国糯
8074,"陸稲西海15号
",,,陸稲,粳,,1933,1940,,,,鹿児島県　県立農事試験場鹿屋分場,永川/葉冠
8075,"陸稲西海16号
",,,陸稲,粳,,1933,1942,,,,鹿児島県　県立農事試験場鹿屋分場,フクトン/田優1号
8076,"陸稲西海17号
",,,陸稲,粳,,1934,1942,,,,鹿児島県　県立農事試験場鹿屋分場,長柄早生浦26号/大畑早生
8077,"陸稲西海18号
",,,陸稲,糯,,1933,1942,,,,鹿児島県　県立農事試験場鹿屋分場,江曽島糯/葉冠
8078,"陸稲西海19号
",,,陸稲,糯,,1935,1942,,,,鹿児島県　県立農事試験場鹿屋分場,陸稲西海4号/四国糯
8079,"陸稲西海20号
",,,陸稲,粳,,1935,1942,,,,鹿児島県　県立農事試験場鹿屋分場,陸稲神力1号/陸稲西海1号
8080,"陸稲西海21号
",,,陸稲,粳,,1935,1942,,,,鹿児島県　県立農事試験場鹿屋分場,陸稲神力1号/陸稲西海1号
8081,"陸稲西海22号
",,,陸稲,粳,,1935,1942,,,,鹿児島県　県立農事試験場鹿屋分場,陸稲西海1号/葉冠
8082,"陸稲西海23号
",,,陸稲,糯,,1936,1943,,,,鹿児島県　県立農事試験場鹿屋分場,陸稲東海5号/陸稲農林糯4号
8083,"陸稲西海24号
",,,陸稲,糯,,1936,1943,,,,鹿児島県　県立農事試験場鹿屋分場,田優a/陸稲西海5号
8084,"陸稲西海25号
",,,陸稲,糯,,1936,1943,,,,鹿児島県　県立農事試験場鹿屋分場,四国糯/陸稲西海5号
8085,"陸稲西海糯26号
 
",スソノモチ,すそのもち,陸稲,糯,,1937,1944,陸稲農林糯33号,1952,1952,鹿児島県　県農業試験場鹿屋分場,陸稲農林糯6号/陸稲農林糯1号
8086,"陸稲西海27号
",,,陸稲,粳,,1937,1944,,,,鹿児島県　県立農事試験場鹿屋分場,陸稲西海8号/葉冠
8087,"陸稲西海28号
",,,陸稲,糯,,1937,1945,,,,鹿児島県　県立農事試験場鹿屋分場,陸稲農林糯1号/陸稲農林糯4号
8088,"陸稲西海29号
 
",シンハカブリ,しんはかぶり,陸稲,粳,,1938,1945,陸稲農林31号,1951,1951,　　農林水産省　鹿児島農事改良実験所鹿屋試験地,陸稲西海6号/葉冠
8089,"陸稲西海糯30号
 
",トサハタモチ,とさはたもち,陸稲,糯,,1938,1946,陸稲農林糯32号,1951,1951,　　農林水産省　鹿児島農事改良実験所鹿屋試験地,ヤスモチ/陸稲農林糯1号
