,地方番号,品種名,品種名（かな）,分類:水陸,分類:粳糯,系統番号,育成開始年,配布開始年,農林登録番号,農林登録年,命名年,育成地,交配組合せ
1549,"中国92号
",,,水稲,粳,短期系289,1975,1983,,,,　　農林水産省　中国農業試験場,短期系87/中国63号
1550,"中国93号
",,,水稲,粳,中系830,1974,1983,,,,　　農林水産省　中国農業試験場,ミネユタカ//中国65号/中国45号
1551,"中国94号
",,,水稲,粳,中系1016,1971,1984,,,,　　農林水産省　中国農業試験場,中国56号/中国61号
1552,"中国95号
",,,水稲,粳,中系883E,1974,1984,,,,　　農林水産省　中国農業試験場,ミネユタカ/中国65号//中国45号
1553,"中国96号
 
 
",ホシユタカ,ほしゆたか,水稲,粳,多収系3,1971,1984,水稲農林286号,1987,1987,　　農林水産省　中国農業試験場,中国55号/KC89
1554,"中国97号
",,,水稲,粳,中系1080,1972,1985,,,,　　農林水産省　中国農業試験場,関東100号/ミネユタカ
1555,"中国98号
",,,水稲,粳,中系1184,1974,1985,,,,　　農林水産省　中国農業試験場,中国65号/中国55号//中系548
1556,"中国99号
",,,水稲,粳,中系1082,1972,1986,,,,　　農林水産省　中国農業試験場,日本晴/ミネユタカ
1557,"中国100号
",,,水稲,粳,中系1204,1975,1986,,,,　　農林水産省　中国農業試験場,中国45号/短期系62
1558,"中国101号
",,,水稲,粳,中系1170,1974,1986,,,,　　農林水産省　中国農業試験場,中系485/中国65号
1559,"中国102号
",,,水稲,粳,多収系82,1981,1986,,,,　　農林水産省　中国農業試験場,あそみのり/多収系2
1560,"中国103号
",,,水稲,粳,中系1239,1978,1987,,,,　　農林水産省　中国農業試験場,中国73号/コチカゼ
1561,"中国104号
",,,水稲,粳,中系1222,1978,1987,,,,　　農林水産省　中国農業試験場,中系835/関東116号
1562,"中国105号
",,,水稲,粳,中系1243,1980,1987,,,,　　農林水産省　中国農業試験場,中国80号/関東PL3
1563,"中国106号
",,,水稲,粳,中系1233,1977,1987,,,,　　農林水産省　中国農業試験場,中国69号/中国70号
1564,"中国107号
",,,水稲,粳,中系糯1186,1973,1987,,,,　　農林水産省　中国農業試験場,西海糯129号/ふ系糯97号
1565,"中国108号
",,,水稲,粳,多収系121,1980,1987,,,,　　農林水産省　中国農業試験場,穂重系6/日本晴
1566,"中国109号
",,,水稲,粳,多収系65,1981,1987,,,,　　農林水産省　中国農業試験場,あそみのり/多収系2
1567,"中国110号
",,,水稲,粳,短期系336,1979,1988,,,,　　農林水産省　中国農業試験場,中国77号/中国76号
1568,"中国111号
",,,水稲,粳,短期系346,1980,1988,,,,　　農林水産省　中国農業試験場,ミネアサヒ/ひょうごわせ
1569,"中国112号
",,,水稲,粳,中系1278,1979,1988,,,,　　農林水産省　中国農業試験場,中国68号/関東119号
1570,"中国113号
",,,水稲,粳,多収系174,1980,1988,,,,　　農林水産省　中国農業試験場,水原258号/オオセト//中国69号
1571,"中国114号
",,,水稲,粳,中系1248,1978,1989,,,,　　農林水産省　中国農業試験場,中国74号/中国70号
1572,"中国115号
",,,水稲,粳,中系1288,1979,1989,,,,　　農林水産省　中国農業試験場,中国75号/ヤマビコ
1573,"中国116号
",,,水稲,粳,多収系136,1980,1989,,,,　　農林水産省　中国農業試験場,中国69号//中国74号/水原257号
1574,"中国117号
",,,水稲,粳,多収系43,1969,1989,,,,　　農林水産省　中国農業試験場,B581(アメリカより導入)/苗栗B40号(台湾の品種)
1575,"中国118号
",,,水稲,粳,多収系179-2,1981,1989,,,,　　農林水産省　中国農業試験場,中国74号/密陽23号//中国69号///あそみのり
1576,"中国糯119号
",,,水稲,糯,中系糯1379,1982,1989,,,,　　農林水産省　中国農業試験場,中国91号/みのたまもち
1577,"中国糯120号
",,,水稲,糯,中系糯1383,1982,1989,,,,　　農林水産省　中国農業試験場,中国91号/みのたまもち
1578,"中国121号
",,,水稲,粳,中系1244,1978,1990,,,,　　農林水産省　中国農業試験場,中国73号/ヤマヒカリ
1579,"中国122号
",,,水稲,粳,中系1422,1985,1990,,,,　　農林水産省　中国農業試験場,星の光/シズヒカリ
1580,"中国123号
",,,水稲,粳,中系1447,1983,1990,,,,　　農林水産省　中国農業試験場,コガネマサリ/黄金晴
1581,"中国糯124号
",,,水稲,糯,多収系240,1983,1990,,,,　　農林水産省　中国農業試験場,多収系3/ヤシロモチ
1582,"中国125号
",,,水稲,粳,中系1389,1984,1991,,,,　　農林水産省　中国農業試験場,黄金晴/ヤマビコ//ミネアサヒ
1583,"中国126号
",,,水稲,粳,中系1394,1983,1991,,,,　　農林水産省　中国農業試験場,コガネマサリ/黄金晴
1584,"中国127号
",,,水稲,粳,中系1459,1984,1991,,,,　　農林水産省　中国農業試験場,コガネマサリ//黄金晴/あそみのり
1585,"中国128号
",,,水稲,粳,中系1439,1985,1991,,,,　　農林水産省　中国農業試験場,ミネアサヒ/中系1211
1586,"中国糯129号
",,,水稲,糯,wx1543,1983,1991,,,,　　農林水産省　中国農業試験場,74wx4/オオセト
1587,"中国糯130号
",,,水稲,糯,中系糯1384-2,1982,1991,,,,　　農林水産省　中国農業試験場,中国91号/みのたまもち
1588,"中国131号
",,,水稲,粳,中系1428,1984,1992,,,,　　農林水産省　中国農業試験場,コガネマサリ/黄金晴//あそみのり
1589,"中国132号
",,,水稲,粳,中系1484,1984,1992,,,,　　農林水産省　中国農業試験場,中国88号/愛知56号
1590,"中国133号
",,,水稲,粳,中系1511,1984,1992,,,,　　農林水産省　中国農業試験場,黄金晴/ヤマビコ//ミネアサヒ
1591,"中国134号
",,,水稲,粳,多収系290,1983,1992,,,,　　農林水産省　中国農業試験場,多収系3/台農67号
1592,"中国135号
",,,水稲,粳,中系1559,1986,1993,,,,　　農林水産省　中国農業試験場,月の光/初星
1593,"中国136号
",,,水稲,粳,中系1519E,1984,1993,,,,　　農林水産省　中国農業試験場,中国90号/黄金晴
1594,"中国137号
 
 
",はいみのり,はいみのり,水稲,粳,多収系459,1984,1993,水稲農林359号,1999,1999,　　農林水産省　中国農業試験場,EM40/アケノホシ
1595,"中国138号
",,,水稲,粳,中系1689,1988,1994,,,,　　農林水産省　中国農業試験場,南海102号/西海181号
1596,"中国139号
",,,水稲,粳,中系1682,1988,1994,,,,　　農林水産省　中国農業試験場,キヌヒカリ/朝の光
1597,"中国140号
",,,水稲,粳,多収系509,1987,1994,,,,　　農林水産省　中国農業試験場,ホシユタカ/においよし
1598,"中国141号
",,,水稲,粳,中系1777,1989,1995,,,,　　農林水産省　中国農業試験場,フジヒカリ/ふ系154号
1599,"中国142号
",,,水稲,粳,中系1785,1987,1995,,,,　　農林水産省　中国農業試験場,北陸122号/コシヒカリ
1600,"中国143号
",,,水稲,粳,中系1733,1987,1995,,,,　　農林水産省　中国農業試験場,あきたこまち/黄金晴
1601,"中国144号
",,,水稲,粳,中系1728,1988,1995,,,,　　農林水産省　中国農業試験場,アケボノ/キヌヒカリ
1602,"中国145号
",,,水稲,粳,中系1724,1988,1995,,,,　　農林水産省　中国農業試験場,ハツシモ/南海102号
1603,"中国146号
 
 
",ホシアオバ,ほしあおば,水稲,粳,多収系525,1987,1995,水稲農林379号,2002,2002,　　（独）農研機構　近畿中国四国農業研究センター,多収系174/北陸130号
1604,"中国147号
 
 
",クサノホシ,くさのほし,水稲,粳,多収系495,1987,1995,水稲農林380号,2002,2002,　　（独）農研機構　近畿中国四国農業研究センター,多収系175/アケノホシ
1605,"中国148号
",,,水稲,粳,中系1775,1989,1996,,,,　　農林水産省　中国農業試験場,フジヒカリ/コシヒカリ
1606,"中国149号
",,,水稲,粳,中系1789,1988,1996,,,,　　農林水産省　中国農業試験場,西海181号/キヌヒカリ
1607,"中国150号
",,,水稲,粳,中系1701,1986,1996,,,,　　農林水産省　中国農業試験場,月の光/中国95号
1608,"中国151号
",,,水稲,粳,中系1825,1988,1996,,,,　　農林水産省　中国農業試験場,ハツシモ/南海102号
1609,"中国152号
",,,水稲,粳,多収系578,1989,1996,,,,　　農林水産省　中国農業試験場,H88-27/アケノホシ
1610,"中国153号
",,,水稲,粳,多収系533,1988,1996,,,,　　農林水産省　中国農業試験場,M201/アケノホシ
1611,"中国154号
",,,水稲,粳,多収系534,1988,1996,,,,　　農林水産省　中国農業試験場,M201/アケノホシ
1612,"中国糯155号
",,,水稲,糯,中系1833,1988,1996,,,,　　農林水産省　中国農業試験場,ハクトモチ/ココノエモチ
1613,"中国156号
",,,水稲,粳,中系1873,1989,1997,,,,　　農林水産省　中国農業試験場,中系1422/あきたこまち
1614,"中国157号
",,,水稲,粳,中系1880,1988,1997,,,,　　農林水産省　中国農業試験場,ハツシモ/キヌヒカリ
1615,"中国158号
",,,水稲,粳,中系1807,1988,1997,,,,　　農林水産省　中国農業試験場,南海102号/朝の光
1616,"中国159号
",,,水稲,粳,中系1808,1988,1997,,,,　　農林水産省　中国農業試験場,南海102号/朝の光
1617,"中国糯160号
",,,水稲,糯,多収系670,1990,1997,,,,　　農林水産省　中国農業試験場,東北糯149号/中国116号
1618,"中国161号
",,,水稲,粳,多収系808,1991,1997,,,,　　農林水産省　中国農業試験場,85KG4/中国125号
1619,"中国162号
",,,水稲,粳,多収系844,1991,1997,,,,　　農林水産省　中国農業試験場,85KG4/葵の風
1620,"中国163号
",,,水稲,粳,多収系837,1991,1997,,,,　　農林水産省　中国農業試験場,中国116号/85KG4
1621,"中国164号
",,,水稲,粳,中系1948,1990,1998,,,,　　農林水産省　中国農業試験場,南海117号/ハナエチゼン
1622,"中国165号
",,,水稲,粳,中系2077,1991,1998,,,,　　農林水産省　中国農業試験場,ヒノヒカリ/西海196号
1623,"中国166号
",,,水稲,粳,中系1908,1989,1998,,,,　　農林水産省　中国農業試験場,葵の風/中系1445
1624,"中国糯167号
",,,水稲,糯,多収系782,1991,1998,,,,　　農林水産省　中国農業試験場,中国糯130号/多収系360
1625,"中国168号
",,,水稲,粳,中系1926,1990,1999,,,,　　農林水産省　中国農業試験場,フジヒカリ//フジヒカリ/コシヒカリ
1626,"中国169号
",,,水稲,粳,中系2074,1991,1999,,,,　　農林水産省　中国農業試験場,西海196号/葵の風
1627,"中国170号
",,,水稲,粳,中系1988,1990,1999,,,,　　農林水産省　中国農業試験場,南海117号/南海109号
1628,"中国171号
",,,水稲,粳,中系1960,1990,2000,,,,　　農林水産省　中国農業試験場,越南146号/北陸148号
1629,"中国172号
",,,水稲,粳,中系2092,1991,2000,,,,　　農林水産省　中国農業試験場,ヒノヒカリ/西海196号
1630,"中国173号
 
 
",LGCソフト,えるじーしーそふと,水稲,粳,LGC-NM391-dull,1992,2000,水稲農林381号,2002,2002,　　（独）農研機構　近畿中国四国農業研究センター,NM391/LGC1
1631,"中国174号
",,,水稲,粳,中系2362,1994,2001,,,,　　（独）農研機構　近畿中国四国農業研究センター,なつのたより/ふ系172号
1632,"中国175号
",,,水稲,粳,中系2262,1993,2001,,,,　　（独）農研機構　近畿中国四国農業研究センター,愛知92号/ヒノヒカリ
1633,"中国176号
",,,水稲,粳,中系2196,1992,2001,,,,　　（独）農研機構　近畿中国四国農業研究センター,中国131号/ハナエチゼン
1634,"中国177号
",,,水稲,粳,中系2313,1992,2002,,,,　　（独）農研機構　近畿中国四国農業研究センター,中国132号/中国93号
1635,"中国178号
",,,水稲,粳,中系2461,1994,2002,,,,　　（独）農研機構　近畿中国四国農業研究センター,東北157号/中国139号
1636,"中国飼糯179号
",,,水稲,糯,多収系919,1993,2002,,,,　　（独）農研機構　近畿中国四国農業研究センター,陸稲関東糯170号/アケノホシ
1637,"中国180号
",,,水稲,粳,中系2635,1996,2003,,,,　　（独）農研機構　近畿中国四国農業研究センター,中国142号/北陸174号
1638,"中国181号
",,,水稲,粳,中系2565,1995,2003,,,,　　（独）農研機構　近畿中国四国農業研究センター,東北139号/愛知93号
1639,"中国182号
",,,水稲,粳,中系2725,1996,2003,,,,　　（独）農研機構　近畿中国四国農業研究センター,中国144号/西海220号
1640,"中国183号
 
 
 
",はいいぶき,はいいぶき,水稲,粳,巨26-1,1996,2003,水稲農林418号,2006,2006,　　（独）農研機構　近畿中国四国農業研究センター,奥羽359号/中国151号
1641,"中国184号
",,,水稲,粳,中系2757,1997,2004,,,,　　（独）農研機構　近畿中国四国農業研究センター,祭り晴/どんとこい
1642,"中国酒185号
 
 
 
",みずほのか,みずほのか,水稲,粳,多収系1000,1995,2004,水稲農林426号,2008,2007,　　（独）農研機構　近畿中国四国農業研究センター,LGC1/兵庫北錦
1643,"中国186号
",,,水稲,粳,中系2657,1996,2005,,,,　　（独）農研機構　近畿中国四国農業研究センター,関東184号/中国151号
1644,"中国187号
",,,水稲,粳,中系2816,1998,2005,,,,　　（独）農研機構　近畿中国四国農業研究センター,西海239号/南海148号
1645,"中国188号
",,,水稲,粳,中系特45,2000,2005,,,,　　（独）農研機構　近畿中国四国農業研究センター,AL99(エルジーシー潤の姉妹系統)/ミルキークイーン
1646,"中国飼189号
",,,水稲,粳,多収系1019,1996,2005,,,,　　（独）農研機構　近畿中国四国農業研究センター,ふくひびき/中国147号
1647,"中国190号
 
",,,水稲,粳,中系2826,1999,2006,,,,　　（独）農研機構　近畿中国四国農業研究センター,北陸182号/越南176号
1648,"中国191号
",,,水稲,粳,中系d2837,1999,2006,,,,　　（独）農研機構　近畿中国四国農業研究センター,ミルキークイーン/中国169号
1649,"中国192号
 
 
 
",姫ごのみ,ひめごのみ,水稲,粳,中系d2855,1999,2006,,,2010,　　（独）農研機構　近畿中国四国農業研究センター,ミルキークイーン/中国169号
1650,"中国193号
",,,水稲,粳,中系2882,2001,2007,,,,　　（独）農研機構　近畿中国四国農業研究センター,中国175号/越南193号
1651,"中国糯194号
",,,水稲,糯,中系特59,2000,2007,,,,　　（独）農研機構　近畿中国四国農業研究センター,AL99/ハクトモチ
1652,"中国195号
",,,水稲,粳,中系2093,2001,2008,,,,　　（独）農研機構　近畿中国四国農業研究センター,中国175号/東北176号
1653,"中国196号
",,,水稲,粳,中系2889,2001,2008,,,,　　（独）農研機構　近畿中国四国農業研究センター,ひとめぼれ/ふ系201号//ヒノヒカリ
1654,"中国197号
",,,水稲,粳,中系特93,1999,2008,,,,　　（独）農研機構　近畿中国四国農業研究センター,NY-1/中国151号
1655,"中国飼198号
 
 
 
",たちすずか,たちすずか,水稲,粳,多収系1072,2001,2008,水稲農林444号,2013,2010,　　（独）農研機構　近畿中国四国農業研究センター,中国147号/極短穂(00個選11)(自然突然変異)
1656,"中国糯199号
",,,水稲,糯,中系糯2915,2001,2009,,,,　　（独）農研機構　近畿中国四国農業研究センター,中国糯155号/東北糯178号
1657,"中国200号
 
 
 
",せとのかがやき,せとのかがやき,水稲,粳,中系2898,2003,2009,,,2013,　　（独）農研機構　近畿中国四国農業研究センター,西海232号/愛知108号
1658,"中国201号
 
 
 
",恋の予感,こいのよかん,水稲,粳,中系2925,2002,2009,,,2014,　　（独）農研機構　近畿中国四国農業研究センター,西海232号/中国178号
1659,"中国胚202号
 
 
 
",はいごころ,はいごころ,水稲,粳,中系特125,2002,2009,,,2012,　　（独）農研機構　近畿中国四国農業研究センター,ミルキープリンセス/巨5-7
1660,"中国203号
",,,水稲,粳,中系2920,2003,2010,,,,　　（独）農研機構　近畿中国四国農業研究センター,北陸200号/愛知108号
1661,"中国204号
",,,水稲,粳,中系特117,2003,2010,,,,　　（独）農研機構　近畿中国四国農業研究センター,II 84-11/中系2690
1662,"中国飼205号
 
 
 
",たちあやか,たちあやか,水稲,粳,多収系1088,2001,2010,,,2012,　　（独）農研機構　近畿中国四国農業研究センター,ホシアオバ///中国146号/極短穂(00個選11)(突然変異)//ホシアオバ
1663,"中国206号
",,,水稲,粳,中系2916,2003,2011,,,,　　（独）農研機構　近畿中国四国農業研究センター,西海232号/愛知108号
1664,"中国207号
",,,水稲,粳,中系2962,2004,2011,,,,　　（独）農研機構　近畿中国四国農業研究センター,西海250号/中国184号
1665,"中国208号
",,,水稲,粳,中系2966,2004,2011,,,,　　（独）農研機構　近畿中国四国農業研究センター,西海250号/中国184号
1666,"中国209号
 
 
 
",いなほっこり,いなほっこり,水稲,粳,中系2971,2005,2011,,,2017,　　（国研）農研機構　西日本農業研究センター,中国186号/中系2826
1667,"中国210号
",,,水稲,粳,中系2973,2005,2011,,,,　　（独）農研機構　近畿中国四国農業研究センター,愛知108号/越南210号
1668,"中国211号
",,,水稲,粳,中系2993,2006,2013,,,,　　（独）農研機構　近畿中国四国農業研究センター,西海258号/中国186号
1669,"中国212号
",,,水稲,粳,中系d2998,2006,2013,,,,　　（独）農研機構　近畿中国四国農業研究センター,中国192号/関東229号
1670,"中国213号
",,,水稲,粳,中系3000,2006,2013,,,,　　（独）農研機構　近畿中国四国農業研究センター,西海258号/中国186号
1671,"中国214号
",,,水稲,粳,中系3002,2007,2013,,,,　　（独）農研機構　近畿中国四国農業研究センター,にこまる/中国193号
1672,"中国215号
 
 
 
",ふくのこ,ふくのこ,水稲,粳,中系特139,2006,2013,,,2016,　　（国研）農研機構　近畿中国四国農業研究センター,新潟79号/関東229号
1673,"中国216号
 
 
 
",さとのつき,さとのつき,水稲,粳,中系d2999,2006,2014,,,2019,　　（国研）農研機構　西日本農業研究センター,中系d2837/関東PL12//中国178号
1674,"中国217号
 
 
 
",みなちから,みなちから,水稲,粳,多収系1111,2005,2014,,,2016,　　（国研）農研機構　近畿中国四国農業研究センター,関東PL12/関東飼226号
1675,"中国218号
",恋初めし,こいそめし,水稲,粳,中系3079,2009,2015,,,2018,　　（国研）農研機構　近畿中国四国農業研究センター,あきだわら/中国201号
1676,"中国飼219号
 
 
 
",つきすずか,つきすずか,水稲,粳,多収系1217,2008,2015,,,2016,　　（国研）農研機構　西日本農業研究センター,中国飼198号/多収系1066
1677,"中国飼220号
 
 
 
",つきことか,つきことか,水稲,粳,多収系1199,2005,2015,,,2018,　　（国研）農研機構　西日本農業研究センター,05多予Ⅱ-15/中国飼189号
1678,"中国221号
",,,水稲,粳,中系3156,2009,2016,,,,　　（国研）農研機構　西日本農業研究センター,中国200号/南海166号
1679,"中国222号
",,,水稲,粳,多収系1261,2007,2016,,,,　　（国研）農研機構　西日本農業研究センター,べこあおば/北陸193号//北陸193号
1680,"中国223号
",,,水稲,粳,中系3213,2009,2016,,,,　　（国研）農研機構　西日本農業研究センター,中国201号/南海166号
1681,"中国飼224号
 
 
 
",つきはやか,つきはやか,水稲,粳,中飼1,2011,2016,,,2020,　　（国研）農研機構　西日本農業研究センター,ホシアオバ/関東PL13//(05多予Ⅱ-15/中国飼189号)F4/03多系選96
1682,"中国飼225号
",つきあやか,つきあやか,水稲,粳,中飼14,2011,2016,,,2020,　　（国研）農研機構　西日本農業研究センター,ホシアオバ/関東PL13//(05多予Ⅱ-15/中国飼189号)F4/03多系選96
1683,"中国226号
",,,水稲,粳,中系3426,2012,2018,,,,　　（国研）農研機構　西日本農業研究センター,西海290号/中国209号
1684,"中国227号
",,,水稲,粳,中系17076,2013,2019,,,,　　（国研）農研機構　西日本農業研究センター,北陸255号/中国201号
1685,"中国228号
",,,水稲,粳,中系17224,2013,2019,,,,　　（国研）農研機構　西日本農業研究センター,北陸257号/多収系1111
1686,"中国229号
",,,水稲,粳,中系17256,2012,2019,,,,　　（国研）農研機構　西日本農業研究センター,多収系1106/北陸193号
1687,"中国230号
",,,水稲,粳,中系17209,2013,2019,,,,　　（国研）農研機構　西日本農業研究センター,中国215号/多収系1111
1688,"中国231号
",,,水稲,粳,中系18098,2014,2020,,,,　　（国研）農研機構　西日本農業研究センター,西海271号/中国218号
1689,"中国232号
",,,水稲,粳,中系3494,2012,2020,,,,　　（国研）農研機構　西日本農業研究センター,奥羽417号/南海177号
1690,"中国233号
",,,水稲,粳,中系19078,2014,2021,,,,　　（国研）農研機構　西日本農業研究センター,北陸260号/中国211号
1691,"中国234号
",,,水稲,粳,中系18503,2013,2022,,,,　　（国研）農研機構　西日本農業研究センター,恋の予感*5//コシヒカリ環1号/恋の予感
1692,"中国IL1号
",,,水稲,粳,中系IL1,1999,2007,,,,　　（独）農研機構　近畿中国四国農業研究センター,コシヒカリ*6/中国40号
1693,"中国IL2号
",,,水稲,粳,中系IL10,2004,2008,,,,　　（独）農研機構　近畿中国四国農業研究センター,中系IL1/中系IL9
1694,"中国IL3号
 
 
 
",コシヒカリ近中四SBL1号,こしひかりきんちゅうしSBL1ごう,水稲,粳,中系IL58,2005,2011,,,2012,　　（独）農研機構　近畿中国四国農業研究センター,コシヒカリ/中系IL10
1695,"中国IL4号
",,,水稲,粳,ヒノPi9-1,2004,2013,,,,　　（独）農研機構　近畿中国四国農業研究センター,
1696,"中国IL5号
",,,水稲,粳,ヒノPiz5-2,2004,2013,,,,　　（独）農研機構　近畿中国四国農業研究センター,
1697,"中国IL6号
",,,水稲,粳,中系18502,2013,2021,,,,　　（国研）農研機構　西日本農業研究センター,姫ごのみ*5//コシヒカリ環1号/姫ごのみ
1698,"中国IL7号
",,,水稲,粳,中系Ovc3,2015,2021,,,,　　（国研）農研機構　西日本農業研究センター,北陸193号///(北陸193号/コシヒカリ)F3//2*北陸193号
1699,"中国PL1
",,,水稲,粳,多収系100,1980,1986,,,,　　農林水産省　中国農業試験場,中国75号/密陽23号//穂重系10
1700,"中国PL2
",,,水稲,粳,中系19302,2014,2021,,,,　　（国研）農研機構　西日本農業研究センター,いただき/IRSL37(いただきを反復親、O.rufiponを供与親としたCSSL)
1701,"道北1号
 
",イシカリ,いしかり,水稲,粳,上系6679,,1968,水稲農林217号,1971,1971,北海道　道立上川農業試験場,北海182号/空育4号
1702,"道北2号
",,,水稲,粳,永系6617,,1968,,,,北海道　道立上川農業試験場,みまさり/農林20号
1703,"道北3号
",,,水稲,粳,永系6631,,1968,,,,北海道　道立上川農業試験場,みまさり/新雪
1704,"道北糯4号
",,,水稲,糯,永系6657,,1968,,,,北海道　道立上川農業試験場,みまさり/双豊糯
1705,"道北5号
",,,水稲,粳,永系6703,,1969,,,,北海道　道立上川農業試験場,北海182号/ふくゆき
1706,"道北6号
",,,水稲,粳,永系6712,,1969,,,,北海道　道立上川農業試験場,巴まさり/空育4号
1707,"道北糯7号
",,,水稲,糯,上系6662,,1969,,,,北海道　道立上川農業試験場,みまさり/双豊糯
1708,"道北8号
",,,水稲,粳,永系6755,,1970,,,,北海道　道立上川農業試験場,ささほなみ/上育234号
1709,"道北9号
",,,水稲,粳,永系68162,,1970,,,,北海道　道立上川農業試験場,ユーカラ(ガンマ線照射による突然変異)
1710,"道北10号
",,,水稲,粳,永系69195,,1971,,,,北海道　道立上川農業試験場,ささほなみ/上育234号
1711,"道北11号
",,,水稲,粳,永系68209,,1971,,,,北海道　道立上川農業試験場,上育294号/豊雪A
1712,"道北12号
",,,水稲,粳,永系6971,,1972,,,,北海道　道立上川農業試験場,上育254号/上育234号
1713,"道北13号
",,,水稲,粳,永系69109,,1972,,,,北海道　道立上川農業試験場,ささほなみ/上育234号
1714,"道北14号
",,,水稲,粳,永系7149,,1973,,,,北海道　道立上川農業試験場,ユーカラ/上育349号
1715,"道北15号
",,,水稲,粳,永系71141,,1973,,,,北海道　道立上川農業試験場,ユーカラ/上育349号
1716,"道北16号
",,,水稲,粳,永系71101,,1973,,,,北海道　道立上川農業試験場,ユーカラ/上育349号
1717,"道北17号
",,,水稲,粳,永系71352,,1973,,,,北海道　道立上川農業試験場,上育323号/新雪
1718,"道北糯18号
",,,水稲,糯,永系71285,,1973,,,,北海道　道立上川農業試験場,かむいもち/ささほなみ
1719,"道北糯19号
",,,水稲,糯,永系71284,,1973,,,,北海道　道立上川農業試験場,かむいもち/ささほなみ
1720,"道北20号
",,,水稲,粳,永系7289,,1974,,,,北海道　道立上川農業試験場,北海222号/上育323号
1721,"道北21号
",,,水稲,粳,永系7260,,1974,,,,北海道　道立上川農業試験場,北海222号/上育323号
1722,"道北22号
",,,水稲,粳,永系7294,,1974,,,,北海道　道立上川農業試験場,北海222号/上育323号
1723,"道北糯23号
",,,水稲,糯,永系73347,,1975,,,,北海道　道立上川農業試験場,ふ系糯84号/道北1号
1724,"道北24号
",,,水稲,粳,永系73305,,1975,,,,北海道　道立上川農業試験場,はやゆき/道北1号
1725,"道北25号
",,,水稲,粳,永系73112,,1975,,,,北海道　道立上川農業試験場,レイホウ/道北6号
1726,"道北26号
",,,水稲,粳,永系7369,,1975,,,,北海道　道立上川農業試験場,ふ系69号/石狩白毛//上育350号
1727,"道北27号
",,,水稲,粳,永系7447,,1976,,,,北海道　道立上川農業試験場,道北1号/永系68209
1728,"道北28号
",,,水稲,粳,永系7481,,1976,,,,北海道　道立上川農業試験場,道北1号/空育87号
1729,"道北29号
",,,水稲,粳,永系74193,,1976,,,,北海道　道立上川農業試験場,コシヒカリ/道北1号
1730,"道北30号
",,,水稲,粳,永系75257,,1977,,,,北海道　道立上川農業試験場,コシホマレ/2*道北10号
1731,"道北31号
",,,水稲,粳,永系75320,,1977,,,,北海道　道立上川農業試験場,レイホウ/2*イシカリ
1732,"道北32号
",,,水稲,粳,永系74277,,1977,,,,北海道　道立上川農業試験場,北海228号/2*イシカリ
1733,"道北33号
",,,水稲,粳,永系74257,,1977,,,,北海道　道立上川農業試験場,道北1号/永系68128
1734,"道北34号
",,,水稲,粳,永系76142,1972,1978,,,,北海道　道立上川農業試験場,永系71303/イシカリ
1735,"道北35号
",,,水稲,粳,永系76624,1973,1978,,,,北海道　道立上川農業試験場,道北14号/きたこがね
1736,"道北36号
 
 
",キタアケ,きたあけ,水稲,粳,永系7864,1974,1980,水稲農林268号,1983,1983,北海道　道立上川農業試験場,永系7361/道北5号
1737,"道北37号
",,,水稲,粳,永系79208,1975,1981,,,,北海道　道立上川農業試験場,キタヒカリ/道北24号
1738,"道北38号
",,,水稲,粳,永系79366,1974,1982,,,,北海道　道立上川農業試験場,道北糯18号/道北11号
1739,"道北39号
",,,水稲,粳,永系79242,1975,1982,,,,北海道　道立上川農業試験場,キタヒカリ/道北24号
1740,"道北40号
",,,水稲,粳,AC82175,1980,1984,,,,北海道　道立上川農業試験場,渡育214号/道北糯18号
1741,"道北41号
",,,水稲,粳,永系8173,1977,1984,,,,北海道　道立上川農業試験場,道北21号/道北31号
1742,"道北42号
",,,水稲,粳,AC8382,1980,1985,,,,北海道　道立上川農業試験場,ミネアサヒ/道北36号
1743,"道北43号
",,,水稲,粳,永系84271,1980,1985,,,,北海道　道立上川農業試験場,NM391/イシカリ
1744,"道北44号
",,,水稲,粳,AC84512,1981,1986,,,,北海道　道立上川農業試験場,(渡育214号／道北36号)/コシヒカリ//奥羽305号/永系77168
1745,"道北45号
",,,水稲,粳,永系84169,1981,1986,,,,北海道　道立上川農業試験場,道北37号/空育114号
1746,"道北46号
",,,水稲,粳,永系84127,1980,1986,,,,北海道　道立上川農業試験場,道北36号/キタヒカリ
1747,"道北47号
 
 
",ハヤカゼ,はやかぜ,水稲,粳,永系85248,1982,1987,水稲農林303号,1990,1990,北海道　道立上川農業試験場,北育74号/道北36号
1748,"道北48号
",,,水稲,粳,永系85252,1982,1987,,,,北海道　道立上川農業試験場,北育74号/道北36号
1749,"道北49号
",,,水稲,粳,永系86169,1982,1988,,,,北海道　道立上川農業試験場,空育114号/道北36号
1750,"道北50号
",,,水稲,粳,永系86268,1980,1988,,,,北海道　道立上川農業試験場,永系78415/道北36号
1751,"道北51号
",,,水稲,粳,AC8699,1984,1988,,,,北海道　道立上川農業試験場,永系84271/キタアケ
1752,"道北52号
 
 
",彩,あや,水稲,粳,AC8688,1984,1988,水稲農林309号,1991,1991,北海道　道立上川農業試験場,永系84271/キタアケ
1753,"道北53号
",,,水稲,粳,AC87024,1984,1989,,,,北海道　道立上川農業試験場,永系84271/キタアケ
1754,"道北54号
",,,水稲,粳,,1986,1990,,,,北海道　道立上川農業試験場,道北46号/上育397号
